"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2015","57","PM2.5","I-25","08-031-0027","AQS","89","38","66.8","01/01/2001","01/01/2003"
"01/02/2015","53","PM2.5","I-25","08-031-0027","AQS","89","31","56","01/02/2008","01/02/2000"
"01/03/2015","54","PM2.5","Alsup Elementry School - Commerce City","08-001-0006","AQS","106","31","53.2","01/03/2005","01/03/2009"
"01/04/2015","66","PM2.5","I-25","08-031-0027","AQS","102","29","66.4","01/04/2016","01/04/2002"
"01/05/2015","68","PM2.5","I-25","08-031-0027","AQS","93","36","67.2","01/05/2018","01/05/2008"
"01/06/2015","55","PM2.5","DENVER - CAMP","08-031-0002","AQS","101","35","59.4","01/06/2004","01/06/2010"
"01/07/2015","55","PM2.5","I-25","08-031-0027","AQS","134","36","53.2","01/07/2004","01/07/2001"
"01/08/2015","44","Ozone","Kenosha Pass","08-093-0001","AQS","106","36","63.6","01/08/2018","01/08/2001"
"01/09/2015","74","PM2.5","I-25","08-031-0027","AQS","95","36","68","01/09/2016","01/09/2009"
"01/10/2015","66","PM2.5","I-25","08-031-0027","AQS","97","39","65.2","01/10/2016","01/10/2000"
"01/11/2015","58","PM2.5","I-25","08-031-0027","AQS","90","36","54","01/11/2005","01/11/2000"
"01/12/2015","72","PM2.5","Chatfield State Park","08-035-0004","AQS","117","35","57.6","01/12/2011","01/12/2007"
"01/13/2015","75","PM2.5","I-25","08-031-0027","AQS","85","27","60","01/13/2004","01/13/2007"
"01/14/2015","70","PM2.5","DENVER - CAMP","08-031-0002","AQS","103","31","57.4","01/14/2005","01/14/2013"
"01/15/2015","59","PM2.5","I-25","08-031-0027","AQS","101","40","55","01/15/2005","01/15/2013"
"01/16/2015","68","PM2.5","I-25","08-031-0027","AQS","103","28","57.4","01/16/2005","01/16/2003"
"01/17/2015","45","Ozone","ROCKY FLATS-N","08-059-0006","AQS","108","36","55.4","01/17/2001","01/17/2004"
"01/18/2015","44","Ozone","Mines Peak","08-019-0006","AQS","81","38","60.2","01/18/2016","01/18/2008"
"01/19/2015","42","Ozone","Mines Peak","08-019-0006","AQS","113","36","50.8","01/19/2004","01/19/2006"
"01/20/2015","49","PM2.5","DENVER - CAMP","08-031-0002","AQS","95","36","46.2","01/20/2000","01/20/2009"
"01/21/2015","44","Ozone","Mines Peak","08-019-0006","AQS","67","40","51.2","01/21/2000","01/21/2009"
"01/22/2015","55","PM2.5","I-25","08-031-0027","AQS","78","35","49.4","01/22/2007","01/22/2005"
"01/23/2015","44","Ozone","Mines Peak","08-019-0006","AQS","70","27","53.6","01/23/2016","01/23/2003"
"01/24/2015","45","Ozone","Kenosha Pass","08-093-0001","AQS","144","36","52.8","01/24/2003","01/24/2006"
"01/25/2015","42","Ozone","Kenosha Pass","08-093-0001","AQS","90","41","46.2","01/25/2007","01/25/2002"
"01/26/2015","52","PM2.5","I-25","08-031-0027","AQS","81","39","47.2","01/26/2000","01/26/2001"
"01/27/2015","52","PM2.5","I-25","08-031-0027","AQS","73","36","48.8","01/27/2005","01/27/2002"
"01/28/2015","43","Ozone","Kenosha Pass","08-093-0001","AQS","85","38","47","01/28/2005","01/28/2004"
"01/29/2015","51","PM2.5","I-25","08-031-0027","AQS","66","37","48","01/29/2010","01/29/2004"
"01/30/2015","67","PM2.5","DENVER - CAMP","08-031-0002","AQS","71","31","54.4","01/30/2019","01/30/2002"
"01/31/2015","55","PM2.5","DENVER - CAMP","08-031-0002","AQS","84","30","48.2","01/31/2014","01/31/2003"
"02/01/2015","55","PM2.5","DENVER - CAMP","08-031-0002","AQS","68","28","52","02/01/2014","02/01/2003"
"02/02/2015","59","PM2.5","I-25","08-031-0027","AQS","89","33","51.4","02/02/2014","02/02/2003"
"02/03/2015","44","Ozone","ROCKY FLATS-N","08-059-0006","AQS","89","33","50","02/03/2014","02/03/2003"
"02/04/2015","44","PM2.5","DENVER - CAMP","08-031-0002","AQS","103","38","47.8","02/04/2014","02/04/2000"
"02/05/2015","59","PM2.5","I-25","08-031-0027","AQS","115","38","55.2","02/05/2007","02/05/2009"
