Date,AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
2014-01-01,49,Ozone,Mount Evans,08-019-0005,AQS,89,38,66.8,01/01/2001,01/01/2003
2014-01-02,64,PM2.5,Alsup Elementry School - Commerce City,08-001-0006,AQS,89,31,56.0,01/02/2008,01/02/2000
2014-01-03,47,Ozone,Mount Evans,08-019-0005,AQS,106,31,53.2,01/03/2005,01/03/2009
2014-01-04,43,Ozone,Mount Evans,08-019-0005,AQS,102,29,66.4,01/04/2016,01/04/2002
2014-01-05,49,PM2.5,Alsup Elementry School - Commerce City,08-001-0006,AQS,93,36,67.2,01/05/2018,01/05/2008
2014-01-06,65,PM2.5,DENVER - CAMP,08-031-0002,AQS,101,35,59.4,01/06/2004,01/06/2010
2014-01-07,65,PM2.5,DENVER - CAMP,08-031-0002,AQS,134,36,53.2,01/07/2004,01/07/2001
2014-01-08,81,PM2.5,I-25,08-031-0027,AQS,106,36,63.6,01/08/2018,01/08/2001
2014-01-09,68,PM2.5,DENVER - CAMP,08-031-0002,AQS,95,36,68.0,01/09/2016,01/09/2009
2014-01-10,45,Ozone,Mount Evans,08-019-0005,AQS,97,39,65.2,01/10/2016,01/10/2000
2014-01-11,42,Ozone,Kenosha Pass,08-093-0001,AQS,90,36,54.0,01/11/2005,01/11/2000
2014-01-12,42,Ozone,Mount Evans,08-019-0005,AQS,117,35,57.6,01/12/2011,01/12/2007
2014-01-13,45,Ozone,Mount Evans,08-019-0005,AQS,85,27,60.0,01/13/2004,01/13/2007
2014-01-14,43,Ozone,Mount Evans,08-019-0005,AQS,103,31,57.4,01/14/2005,01/14/2013
2014-01-15,48,Ozone,Kenosha Pass,08-093-0001,AQS,101,40,55.0,01/15/2005,01/15/2013
2014-01-16,47,PM2.5,I-25,08-031-0027,AQS,103,28,57.4,01/16/2005,01/16/2003
2014-01-17,57,PM2.5,Alsup Elementry School - Commerce City,08-001-0006,AQS,108,36,55.4,01/17/2001,01/17/2004
2014-01-18,51,Ozone,Mount Evans,08-019-0005,AQS,81,38,60.2,01/18/2016,01/18/2008
2014-01-19,50,Ozone,Mount Evans,08-019-0005,AQS,113,36,50.8,01/19/2004,01/19/2006
2014-01-20,47,Ozone,Kenosha Pass,08-093-0001,AQS,95,36,46.2,01/20/2000,01/20/2009
2014-01-21,50,Ozone,Kenosha Pass,08-093-0001,AQS,67,40,51.2,01/21/2000,01/21/2009
2014-01-22,50,Ozone,Kenosha Pass,08-093-0001,AQS,78,35,49.4,01/22/2007,01/22/2005
2014-01-23,65,PM2.5,I-25,08-031-0027,AQS,70,27,53.6,01/23/2016,01/23/2003
2014-01-24,59,PM2.5,I-25,08-031-0027,AQS,144,36,52.8,01/24/2003,01/24/2006
2014-01-25,46,Ozone,Mount Evans,08-019-0005,AQS,90,41,46.2,01/25/2007,01/25/2002
2014-01-26,45,Ozone,Mount Evans,08-019-0005,AQS,81,39,47.2,01/26/2000,01/26/2001
2014-01-27,48,PM2.5,I-25,08-031-0027,AQS,73,36,48.8,01/27/2005,01/27/2002
2014-01-28,59,PM2.5,I-25,08-031-0027,AQS,85,38,47.0,01/28/2005,01/28/2004
2014-01-29,55,PM2.5,Alsup Elementry School - Commerce City,08-001-0006,AQS,66,37,48.0,01/29/2010,01/29/2004
2014-01-30,48,Ozone,ROCKY FLATS-N,08-059-0006,AQS,71,31,54.4,01/30/2019,01/30/2002
2014-01-31,85,PM2.5,I-25,08-031-0027,AQS,84,30,48.2,01/31/2014,01/31/2003
2014-02-01,71,PM2.5,I-25,08-031-0027,AQS,68,28,52.0,02/01/2014,02/01/2003
2014-02-02,90,PM2.5,I-25,08-031-0027,AQS,89,33,51.4,02/02/2014,02/02/2003
2014-02-03,90,PM2.5,I-25,08-031-0027,AQS,89,33,50.0,02/03/2014,02/03/2003
2014-02-04,103,PM2.5,Alsup Elementry School - Commerce City,08-001-0006,AQS,103,38,47.8,02/04/2014,02/04/2000
2014-02-05,58,PM2.5,I-25,08-031-0027,AQS,115,38,55.2,02/05/2007,02/05/2009
2014-02-06,73,PM2.5,I-25,08-031-0027,AQS,81,36,47.0,02/06/2009,02/06/2003
2014-02-07,124,PM2.5,Chatfield State Park,08-035-0004,AQS,124,38,46.6,02/07/2014,02/07/2003
2014-02-08,56,PM2.5,I-25,08-031-0027,AQS,154,36,58.4,02/08/2007,02/08/2010
2014-02-09,123,PM2.5,I-25,08-031-0027,AQS,123,39,56.6,02/09/2014,02/09/2002
2014-02-10,152,PM2.5,I-25,08-031-0027,AQS,152,37,59.0,02/10/2014,02/10/2009
2014-02-11,67,PM2.5,I-25,08-031-0027,AQS,161,37,50.8,02/11/2007,02/11/2004
2014-02-12,58,PM2.5,I-25,08-031-0027,AQS,115,35,53.8,02/12/2012,02/12/2002
2014-02-13,43,Ozone,Kenosha Pass,08-093-0001,AQS,95,32,54.4,02/13/2001,02/13/2009
2014-02-14,54,PM2.5,I-25,08-031-0027,AQS,93,36,46.2,02/14/2007,02/14/2000
2014-02-15,38,Ozone,Aurora East,08-005-0006,AQS,158,38,47.8,02/15/2001,02/15/2006
2014-02-16,58,PM2.5,I-25,08-031-0027,AQS,133,42,51.8,02/16/2001,02/16/2000
2014-02-17,49,Ozone,Kenosha Pass,08-093-0001,AQS,157,32,49.6,02/17/2001,02/17/2004
2014-02-18,47,Ozone,Kenosha Pass,08-093-0001,AQS,94,38,54.6,02/18/2001,02/18/2003
